"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","晨翼咖啡 ","436台中市清水區中興街10號","","晨翼咖啡","中興街10號","ChIJjwS8ZH8UaTQRuSGaLoYrnkU","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","tutti督醍咖啡","台中市中區中山路247號","https://www.facebook.com/tuttitutticafe/","督醍咖啡 Tutti Tutti Cafe","中山路247號","ChIJO5oGrBI9aTQRMyTuK8H_Iok","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Zeller Coffee","台中市南屯區大墩十一街154號","https://www.facebook.com/zellercoffee/","Zeller 宅樂大墩店","大墩十一街154號","ChIJv-egM8w9aTQRazEA4LZWC1U","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","食いしん坊","台中市五權南路278巷25號","https://www.facebook.com/kuishinbou.wonda/","食いしん坊","403臺中市西區五權一街162巷1弄3號","ChIJ8RAKUKQ9aTQR_GLDaL4EK6E","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","坊呼咖啡 Fun hoster","台中市西區大和路71號","https://www.facebook.com/funhoster","Fun Hoster","大和路71號號","ChIJi-jI33U9aTQRaTgi-HUesWQ","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Under The Rose Cafe ","406台中市北屯區梅川東路四段98號","","Under The Rose Cafe ( UTR咖啡 )","梅川東路四段98號","ChIJs9tOIKoXaTQRN-S9ddPenkY","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Kusabi+","台中市 北區 篤行路316巷2號","https://www.facebook.com/kusabi.plus/","Kusabi+ Cafe l Craft l Casa","篤行路316巷2號","ChIJW7VPZno9aTQRXP_COgIOdls","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Sepia coffee 斯比亞咖啡 (朝富店)","台中市西屯區朝富路242號","https://www.facebook.com/pg/sepiacoffee242","Sepia Coffee 斯比亞 咖啡披薩義大利麵","朝富路242號","ChIJ5XqaxvE9aTQR89ggVK2NPZs","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","元生咖啡","台中市西區向上路一段79巷64號","https://www.facebook.com/YuanShengCafe/","元生咖啡","向上路一段79巷80弄11號","ChIJVSYrJKA9aTQRgDPiBL2ItuY","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","3393","台中市南區復興路三段393號","https://www.facebook.com/3393.tw/","3393/果汁/早午餐/咖啡","復興路三段393號","ChIJpdMpM0I9aTQRb4OJSwUQaN8","",""
